"channel_name","total_conversions","total_conversion_value"
"2018-07-30T08:04:27Z",0.174026111157202,0.174026111157202
"2018-07-30T08:04:37Z",0.204557007851448,0.204557007851448
"000Ck9AkfhnBE33ECoC030F0n",0.407587470868185,0.407587470868185
"2018-07-19T15:33:45Z",0.195397738843175,0.195397738843175
"2018-07-19T15:33:46Z",0.21218973202501,0.21218973202501
"000D9CBi0Bok9FFF0nAA0FCAi",0.213716276859722,0.213716276859722
"2018-07-11T09:39:26Z",0.213716276859722,0.213716276859722
"000DBnhEF0kF0ono0D0F3kCC0",0.436591822727718,0.436591822727718
"2018-07-14T07:14:39Z",0.221349001033284,0.221349001033284
"2018-07-14T07:14:55Z",0.215242821694435,0.215242821694435
"000DfAofCDDi30hhkfDok3o3B",0.196924283677887,0.196924283677887
"2018-07-03T22:55:13Z",0.196924283677887,0.196924283677887
